time,open,high,low,close,volume
2016-04-13,1.4274,1.428,1.4191,1.4203,0
2016-04-14,1.4203,1.4212,1.4089,1.4154,0
2016-04-15,1.4155,1.4241,1.4131,1.4195,0
2016-04-18,1.4225,1.4294,1.4134,1.4278,0
2016-04-19,1.4277,1.442,1.4267,1.4393,0
2016-04-20,1.4393,1.4411,1.4327,1.4333,0
2016-04-21,1.4333,1.4441,1.43,1.4323,0
2016-04-22,1.4323,1.4451,1.4311,1.4403,0
2016-04-25,1.4414,1.4521,1.4402,1.4482,0
2016-04-26,1.4483,1.464,1.4476,1.4582,0
2016-04-27,1.4585,1.4624,1.4476,1.4543,0
2016-04-28,1.4541,1.4623,1.4523,1.461,0
2016-04-29,1.4609,1.4671,1.4578,1.4613,0
2016-05-02,1.4611,1.4697,1.4578,1.4673,0
2016-05-03,1.4673,1.477,1.4528,1.4534,0
2016-05-04,1.4536,1.4572,1.446,1.4492,0
2016-05-05,1.4499,1.4533,1.4446,1.4486,0
2016-05-06,1.4484,1.4544,1.4413,1.443,0
2016-05-09,1.4429,1.4479,1.4373,1.4407,0
2016-05-10,1.4407,1.4478,1.4387,1.4441,0
2016-05-11,1.4438,1.4488,1.4394,1.4448,0
2016-05-12,1.445,1.4534,1.4409,1.445,0
2016-05-13,1.445,1.4458,1.4339,1.4362,0
2016-05-16,1.4352,1.4421,1.4335,1.4401,0
2016-05-17,1.4398,1.4526,1.4393,1.4464,0
2016-05-18,1.4459,1.4635,1.4401,1.4596,0
2016-05-19,1.46,1.4666,1.4564,1.4612,0
2016-05-20,1.4611,1.4615,1.4482,1.4501,0
2016-05-23,1.4506,1.455,1.4443,1.4485,0
2016-05-24,1.4488,1.4646,1.4474,1.4636,0
2016-05-25,1.4636,1.473,1.4601,1.4696,0
2016-05-26,1.47,1.4744,1.4644,1.467,0
2016-05-27,1.4671,1.4693,1.4605,1.4625,0
2016-05-30,1.4624,1.4641,1.4586,1.4639,0
2016-05-31,1.4639,1.4724,1.4462,1.4478,0
2016-06-01,1.4479,1.4508,1.4386,1.4416,0
2016-06-02,1.4417,1.4474,1.4405,1.4425,0
2016-06-03,1.4419,1.4582,1.4398,1.452,0
2016-06-06,1.4519,1.4526,1.4356,1.4442,0
2016-06-07,1.4441,1.4645,1.4435,1.4544,0
2016-06-08,1.4541,1.46,1.4497,1.4502,0
2016-06-09,1.4501,1.4528,1.4447,1.4459,0
2016-06-10,1.446,1.4474,1.4179,1.4258,0
2016-06-13,1.4257,1.4327,1.4113,1.4272,0
2016-06-14,1.4273,1.4273,1.4091,1.4117,0
2016-06-15,1.4116,1.4222,1.4092,1.4205,0
2016-06-16,1.4204,1.4253,1.4011,1.4203,0
2016-06-17,1.4204,1.4388,1.4196,1.4358,0
2016-06-20,1.4354,1.4722,1.4354,1.4699,0
2016-06-21,1.47,1.4783,1.4614,1.4647,0
2016-06-22,1.4648,1.4777,1.4644,1.4708,0
2016-06-23,1.4706,1.4947,1.47,1.4879,0
2016-06-24,1.4872,1.502,1.3226,1.368,0
2016-06-27,1.3564,1.3564,1.3119,1.3219,0
2016-06-28,1.3225,1.342,1.3198,1.3342,0
2016-06-29,1.3342,1.3535,1.3285,1.3426,0
2016-06-30,1.3433,1.35,1.3207,1.3311,0
2016-07-01,1.3307,1.335,1.3244,1.3262,0
